bag_time_unix_s,candidate_id,condition_id,extent_m,frame_index,intensity_mean,lidar_rank,point_count,radial_velocity_mean_mps,voxel_count,voxel_persistence_fraction,x_m,y_m,z_m
1770273524.3198223,300m_roundtrip_10_e0027,300m_roundtrip_10,2.9761782017990774,34,20.5,27,4.0,1.0174999460577965,3.0,0.12872340425531914,294.9762649536133,-0.8204514533281326,-26.009756088256836
1770273525.3388886,300m_roundtrip_10_e0027,300m_roundtrip_10,4.295673869962354,35,12.8,27,5.0,1.190000021457672,5.0,0.1123404255319149,298.26482543945315,-1.6754311800003052,-27.613843154907226
1770273526.3411467,300m_roundtrip_10_e0027,300m_roundtrip_10,2.500706283445458,36,13.666666666666666,27,3.0,2.2433332602183023,3.0,0.08368794326241136,297.92075602213544,-2.8114813963572183,-27.585880279541016
1770273527.3271942,300m_roundtrip_10_e0027,300m_roundtrip_10,0.0,37,22.0,27,1.0,-0.2199999988079071,1.0,0.15319148936170213,296.2793273925781,-1.1006735563278198,-26.67763328552246
1770273528.3278723,300m_roundtrip_10_e0027,300m_roundtrip_10,3.0033683530586965,38,17.0,27,3.0,3.849999964237213,3.0,0.12907801418439716,292.93039957682294,0.13885603348414102,-24.477025985717773
1770273529.3314426,300m_roundtrip_10_e0027,300m_roundtrip_10,0.0,39,20.0,27,1.0,-10.170000076293945,1.0,0.18723404255319148,289.5533447265625,1.657209038734436,-26.18877410888672
1770273530.3326888,300m_roundtrip_10_e0027,300m_roundtrip_10,2.7099222606829114,40,17.5,27,4.0,4.582500025629997,4.0,0.06595744680851064,286.23956298828125,4.898751258850098,-25.124237060546875
1770273535.3306682,300m_roundtrip_10_e0028,300m_roundtrip_10,2.68228317395853,45,15.0,28,3.0,-6.159999857346217,3.0,0.1148936170212766,377.1531982421875,-105.84846496582031,-33.36297734578451
1770273536.342054,300m_roundtrip_10_e0028,300m_roundtrip_10,1.651247448389739,46,15.333333333333334,28,3.0,-0.0066666727264722185,3.0,0.11205673758865249,380.93231201171875,-107.85697428385417,-33.109917958577476
1770273538.3285444,300m_roundtrip_10_e0028,300m_roundtrip_10,0.0,48,12.0,28,1.0,-0.029999999329447746,1.0,0.14042553191489363,381.41607666015625,-106.26715087890625,-33.99749755859375
1770273539.3357885,300m_roundtrip_10_e0028,300m_roundtrip_10,2.1714651827926703,49,15.666666666666666,28,3.0,1.9900000393390656,2.0,0.1929078014184397,380.02850341796875,-106.52122497558594,-35.36823018391927
1770273540.3100302,300m_roundtrip_10_e0028,300m_roundtrip_10,0.0,50,23.0,28,1.0,14.329999923706055,1.0,0.05531914893617021,376.5630798339844,-107.01776885986328,-34.47605514526367
1770273541.340113,300m_roundtrip_10_e0028,300m_roundtrip_10,0.0,51,16.5,28,2.0,0.8699999749660492,1.0,0.18723404255319148,372.33741760253906,-108.03950881958008,-32.43782043457031
1770273542.32561,300m_roundtrip_10_e0028,300m_roundtrip_10,1.9871162892088208,52,18.666666666666668,28,3.0,-2.676666736602783,2.0,0.05673758865248227,369.35959879557294,-105.00721995035808,-33.66667811075846
1770273543.3352995,300m_roundtrip_10_e0028,300m_roundtrip_10,0.0,53,11.0,28,1.0,-0.17000000178813934,1.0,0.10638297872340426,366.52752685546875,-102.77286529541016,-33.44637680053711
1770273544.3343868,300m_roundtrip_10_e0028,300m_roundtrip_10,0.9666165339866559,54,17.454545454545453,28,11.0,-0.02545454539358616,2.0,0.10638297872340426,366.419658314098,-103.48796081542969,-34.07816696166992
1770273519.336795,300m_roundtrip_10_e0029,300m_roundtrip_10,1.5133838467589011,29,13.333333333333334,29,3.0,-7.176666895548503,3.0,0.12907801418439716,398.6858215332031,-76.44359334309895,-36.54177474975586
1770273520.326547,300m_roundtrip_10_e0029,300m_roundtrip_10,1.9368804871590173,30,13.5,29,2.0,-12.229999924078584,2.0,0.08936170212765956,396.87290954589844,-76.31594848632812,-36.3944206237793
1770273521.3269856,300m_roundtrip_10_e0029,300m_roundtrip_10,2.9087583641616783,31,16.125,29,8.0,-2.246250093448907,3.0,0.12872340425531914,391.2283363342285,-76.95708084106445,-36.1977972984314
1770273523.327191,300m_roundtrip_10_e0029,300m_roundtrip_10,1.4877403133657625,33,12.0,29,4.0,7.874999851454049,3.0,0.12872340425531914,390.66717529296875,-77.4524974822998,-35.747557640075684
1770273524.3198223,300m_roundtrip_10_e0029,300m_roundtrip_10,3.965613073154293,34,15.23076923076923,29,13.0,-5.217692429056535,6.0,0.11489361702127658,391.89835768479566,-75.25953204815204,-36.08933580838717
1770273525.3388886,300m_roundtrip_10_e0029,300m_roundtrip_10,0.0,35,19.0,29,1.0,1.3899999856948853,1.0,0.1148936170212766,390.8039855957031,-75.6027603149414,-36.17399215698242
1770273526.3411467,300m_roundtrip_10_e0029,300m_roundtrip_10,2.023127763414434,36,11.333333333333334,29,3.0,-3.813333511352539,2.0,0.1078014184397163,390.30312093098956,-76.60158793131511,-35.97005716959635
1770273527.3271942,300m_roundtrip_10_e0029,300m_roundtrip_10,2.1830461752178785,37,15.333333333333334,29,3.0,0.23999999836087227,2.0,0.16595744680851063,390.0561218261719,-77.0116449991862,-35.776458740234375
1770273543.3352995,300m_roundtrip_10_e0030,300m_roundtrip_10,2.4023583468105127,53,14.4,30,5.0,-2.7540000047534705,3.0,0.08085106382978724,299.3521667480469,-0.6554372429847717,-27.569951629638673
1770273545.3387384,300m_roundtrip_10_e0030,300m_roundtrip_10,4.077375959975656,55,13.428571428571429,30,7.0,2.5714285288538252,5.0,0.1519756838905775,296.195809500558,-0.7610194725649697,-26.881196430751256
1770273546.3404276,300m_roundtrip_10_e0030,300m_roundtrip_10,4.089404568971796,56,13.75,30,4.0,-1.5675000548362732,3.0,0.14148936170212767,292.35729217529297,0.17485059797763824,-24.535300731658936
1770273547.3405359,300m_roundtrip_10_e0030,300m_roundtrip_10,1.5473419513261593,57,20.0,30,3.0,9.073333104451498,2.0,0.1673758865248227,289.6632893880208,1.9681937297185261,-25.828393300374348
1770273548.331703,300m_roundtrip_10_e0030,300m_roundtrip_10,1.393450908287933,58,23.0,30,3.0,1.0999999046325684,2.0,0.1475177304964539,290.04345703125,2.0870440006256104,-25.647895177205402
1770274250.3279202,300m_roundtrip_13_e0001,300m_roundtrip_13,2.275030995895159,96,19.571428571428573,1,7.0,-0.9500000157526561,3.0,0.13201970443349756,199.34994506835938,-52.71903664725168,-18.308806555611746
1770274251.3228211,300m_roundtrip_13_e0001,300m_roundtrip_13,0.7953344063068076,97,25.666666666666668,1,3.0,1.1300000256548326,2.0,0.11954022988505747,199.7374013264974,-52.829087575276695,-18.36071268717448
1770274252.3462913,300m_roundtrip_13_e0001,300m_roundtrip_13,0.0,98,26.166666666666668,1,6.0,-0.05166666675359011,1.0,0.16551724137931034,199.11811319986978,-52.650590896606445,-18.287055015563965
1770274253.327919,300m_roundtrip_13_e0001,300m_roundtrip_13,0.0,99,21.0,1,1.0,0.019999999552965164,1.0,0.16551724137931034,199.8378143310547,-52.82521438598633,-18.296058654785156
1770274254.3293736,300m_roundtrip_13_e0001,300m_roundtrip_13,2.040053782242458,100,20.5,1,4.0,-0.1200000043027103,2.0,0.14482758620689656,201.3152961730957,-53.26022720336914,-18.482054710388184
1770274255.3321252,300m_roundtrip_13_e0001,300m_roundtrip_13,0.0,101,19.0,1,1.0,0.4699999988079071,1.0,0.11724137931034483,202.9424591064453,-51.952484130859375,-18.703092575073242
1770274256.325108,300m_roundtrip_13_e0001,300m_roundtrip_13,0.0,102,18.0,1,1.0,-0.1899999976158142,1.0,0.11724137931034483,202.97679138183594,-51.87588882446289,-18.76767349243164
1770274257.332496,300m_roundtrip_13_e0001,300m_roundtrip_13,1.8345835028811495,103,23.333333333333332,1,6.0,0.06333333346992731,2.0,0.12758620689655173,202.3298136393229,-52.63779958089193,-18.592323303222656
1770274258.3375263,300m_roundtrip_13_e0001,300m_roundtrip_13,0.0,104,22.0,1,2.0,6.25,1.0,0.13793103448275862,201.56039428710938,-53.303672790527344,-18.514744758605957
1770274259.329704,300m_roundtrip_13_e0001,300m_roundtrip_13,0.27007890448744387,105,26.5,1,4.0,-0.19750000536441803,2.0,0.1396551724137931,199.03412246704102,-52.65707874298096,-18.287707328796387
1770274260.341217,300m_roundtrip_13_e0001,300m_roundtrip_13,1.3007749774294495,106,22.0,1,3.0,-0.2733333309491475,3.0,0.09885057471264369,197.02586873372397,-47.384613037109375,-15.327260971069336
1770274191.337877,300m_roundtrip_13_e0002,300m_roundtrip_13,2.5399049212833016,37,22.0,2,4.0,2.3824998140335083,3.0,0.013793103448275862,205.83394241333008,-22.25323724746704,-16.257946014404297
1770274192.3252213,300m_roundtrip_13_e0002,300m_roundtrip_13,3.316722648465379,38,25.75,2,4.0,-1.8850001282989979,4.0,0.05344827586206897,202.83963775634766,-22.33060121536255,-15.965976238250732
1770274193.331358,300m_roundtrip_13_e0002,300m_roundtrip_13,4.8788282117156445,39,31.166666666666668,2,6.0,5.106666614611943,4.0,0.07816091954022988,200.1861317952474,-22.720401446024578,-15.810454527537027
1770274194.326863,300m_roundtrip_13_e0002,300m_roundtrip_13,4.639422486964712,40,24.75,2,4.0,-2.0125000178813934,4.0,0.041379310344827586,198.53350067138672,-23.491803646087646,-15.651895523071289
1770274195.3256733,300m_roundtrip_13_e0002,300m_roundtrip_13,0.0,41,23.0,2,1.0,8.84000015258789,1.0,0.06896551724137931,195.51519775390625,-25.1777286529541,-15.00582504272461
1770274196.3230577,300m_roundtrip_13_e0002,300m_roundtrip_13,2.418137959933344,42,22.5,2,4.0,9.68500005826354,4.0,0.03103448275862069,191.8349151611328,-23.474937438964844,-14.954757690429688
